fromId,toId,car_time
06085512042,06085507905,21
06085512042,06085507301,24
06085512042,06085504316,18
06085512042,06085512005,8
06085512042,06085508504,26
06085512042,06085502702,15
06085512042,06085505100,19
06085512042,06085506701,21
06085512042,06085511702,27
06085512042,06085503330,26
06085512042,06085510600,33
06085512042,06085509401,30
06085512042,06085504102,17
06085512042,06085504311,20
06085512042,06085504201,19
06085512042,06069000400,46
06085512042,06085512308,22
06085512042,06085503115,10
06085512042,06085513000,36
06085512042,06085512024,9
06085512042,06085503334,16
06085512042,06085511608,37
06085512042,06085511910,15
06085512042,06085503304,10
06085512042,06085509802,27
06085512042,06085510802,29
06085512042,06085512314,21
06085512042,06085506702,18
06085512042,06085511100,29
06085512042,06085507702,27
06085512042,06085504420,31
06085512042,06085512401,29
06085512042,06085510001,27
06085512042,06085512033,11
06085512042,06085504417,40
06085512042,06085510700,33
06085512042,06085500800,14
06085512042,06085504002,14
06085512042,06085504202,22
06085512042,06085512022,7
06085512042,06085511704,30
06085512042,06085502909,11
06085512042,06085512305,27
06085512042,06085510002,25
06085512042,06085512034,9
06085512042,06085512402,27
06085512042,06085501900,15
06085512042,06085502202,15
06085512042,06085506304,20
06085512042,06085507203,18
06085512042,06085510500,31
06085512042,06085504422,23
06085512042,06085512052,11
06085512042,06085503337,8
06085512042,06085509109,24
06085512042,06085511400,31
06085512042,06085503331,15
06085512042,06085503325,12
06085512042,06085505900,20
06085512042,06085511609,36
06085512042,06085503312,27
06085512042,06085511800,61
06085512042,06085503709,15
06085512042,06085509102,26
06085512042,06085508102,22
06085512042,06085506603,19
06085512042,06085501102,16
06085512042,06085508304,24
06085512042,06085512510,42
06085512042,06085509302,29
06085512042,06085511907,16
06085512042,06085508507,23
06085512042,06085502201,16
06085512042,06085503802,18
06085512042,06085503803,18
06085512042,06085506503,18
06085512042,06085512307,23
06085512042,06085502902,13
06085512042,06085511000,30
06085512042,06085512053,10
06085512042,06085512503,38
06085512042,06085507904,25
06085512042,06085505008,20
06085512042,06085509303,27
06085512042,06085502500,11
06085512042,06085508703,25
06085512042,06085503214,7
06085512042,06085504416,20
06085512042,06085507402,19
06085512042,06085508401,26
06085512042,06085511911,21
06085512042,06085512602,31
06085512042,06085503208,6
06085512042,06085502002,15
06085512042,06085500300,16
06085512042,06085504315,21
06085512042,06085505001,20
06085512042,06085504601,36
06085512042,06085502400,13
06085512042,06085511200,31
06085512042,06085503213,9
06085512042,06085506204,20
06085512042,06085507002,31
06085512042,06085502903,12
06085512042,06085512312,21
06085512042,06085501101,16
06085512042,06085512509,34
06085512042,06085503804,16
06085512042,06085511705,35
06085512042,06085509304,26
06085512042,06085512035,12
06085512042,06085501300,15
06085512042,06085502910,12
06085512042,06085508204,23
06085512042,06085504318,15
06085512042,06085510200,29
06085512042,06085503322,13
06085512042,06085512309,23
06085512042,06085512505,30
06085512042,06085502302,15
06085512042,06085506900,23
06085512042,06085512043,4
06085512042,06085504415,22
06085512042,06085510400,31
06085512042,06085505700,20
06085512042,06085510100,25
06085512042,06085504411,21
06085512042,06085504307,17
06085512042,06085503903,15
06085512042,06085505202,20
06085512042,06085508301,25
06085512042,06085511909,26
06085512042,06085511905,14
06085512042,06085504803,25
06085512042,06085512310,19
06085512042,06085505305,23
06085512042,06085509000,24
06085512042,06085503305,10
06085512042,06085503602,14
06085512042,06085505304,22
06085512042,06085504323,20
06085512042,06085501800,14
06085512042,06085505301,22
06085512042,06085507906,22
06085512042,06085506501,20
06085512042,06085504700,31
06085512042,06085505800,18
06085512042,06085507001,32
06085503306,06085512042,12
06085503306,06085503306,0
06085503306,06085503108,14
06085503306,06085503323,8
06085503306,06069000600,53
06085503306,06085503401,4
06085503306,06085512020,12
06085503306,06085503110,8
06085503306,06085512029,12
06085503306,06085503118,7
06085503306,06085503116,11
06085503306,06085509107,23
06085503306,06085510803,27
06085503306,06085504418,15
06085503306,06085509902,24
06085503306,06085511301,29
06085503306,06085511913,19
06085503306,06085503703,6
06085503306,06085503105,9
06085503306,06085503710,9
06085503306,06085503003,13
06085503306,06085509201,22
06085503306,06085508505,22
06085503306,06085503211,6
06085503306,06085500902,9
06085503306,06085506102,19
06085503306,06085510300,25
06085503306,06085501402,8
06085503306,06085512026,14
06085503306,06085512032,15
06085503306,06085500400,14
06085503306,06069000802,113
06085503306,06085503121,9
06085503306,06085502800,19
06085503306,06085512603,32
06085503306,06085506402,16
06085503306,06085506301,18
06085503306,06085512019,13
06085503306,06085506604,22
06085503306,06085503001,12
06085503306,06085512031,16
06085503306,06085506401,14
06085503306,06085501401,9
06085503306,06085503324,9
06085503306,06085508001,21
06085503306,06085503511,5
06085503306,06085504505,15
06085503306,06085512045,16
06085503306,06085509202,23
06085503306,06085512023,13
06085503306,06069000300,53
06085503306,06085512311,21
06085503306,06085503402,3
06085503306,06085509500,24
06085503306,06085509700,22
06085503306,06085504901,18
06085503306,06085503002,12
06085503306,06085503601,9
06085503306,06085504320,14
06085503306,06085508404,23
06085503306,06085512038,15
06085503306,06085505303,17
06085503306,06085503507,5
06085503306,06085507903,23
