GEOID,med_incomeE,total_hhsE,no_veh_hhE,one_veh_hhE,two_veh_hhE,three_veh_hhE,fourmore_veh_hhE,no_worker_hhE,one_worker_hhE,two_worker_hhE,threemore_worker_hhE,hh_1personE,hh_2personE,hh_3personE,hh_4person_plusE,inc_lt_10kE,inc_btw_10k_15kE,inc_btw_15k_20kE,inc_btw_20k_25kE,inc_btw_25k_30kE,inc_btw_30k_35kE,inc_btw_35k_40kE,inc_btw_40k_45kE,inc_btw_45k_50kE,inc_btw_50k_60kE,inc_btw_60k_75kE,inc_btw_75k_100kE,inc_btw_100k_125kE,inc_btw_125k_150kE,inc_btw_150k_200kE,inc_gt_200kE,total_workerE,total_wfhE,hh_cardef_1w0vE,hh_cardef_2w0vE,hh_cardef_2w1vE,hh_cardef_3w0vE,hh_cardef_3w1vE,hh_cardef_3w2vE,total_jobs,basic_jobs,retail_jobs,service_jobs,geometry,ratio_no_veh,ratio_no_worker,ratio_lt_10k,non_wfh,cardef_hh,carnodef_hh,wfh_percent,alt_service_jobs,jobs_change,commuter_change,alt_non_wfh,alt_wfh,car_access,transit_access,ratio,inc_quint_1,inc_quint_5,pct_big_hh,pct_lo_inc,pct_hi_inc,pct_no_veh,pct_wfh_pop,pct_cardef_hh,transit_access_100k,pred,no_vehE
06085503116,39516,2307,123,670,953,462,99,344,1005,823,135,574,731,508,494,59,108,63,58,40,68,60,27,37,175,159,431,237,273,142,370,3204,204,30,19,66,0,17,15,1095,291,14,790,"list(list(c(-121.864749, -121.861476, -121.854273, -121.849652, -121.845731, -121.844362, -121.841897, -121.845142, -121.84984, -121.852166, -121.860301, -121.862939, -121.863403, -121.864749, 37.279805, 37.280518, 37.280213, 37.280584, 37.280138, 37.279442, 37.276928, 37.275005, 37.274576, 37.274555, 37.274321, 37.27445, 37.276531, 37.279805)))",0.05331599479843953,0.14911140008669269,0.02557433896835717,3000,147,2160,0.4,474,316,1200,1800,1404,922728,1575,0.00170689520638801,288,1022,0.4343302990897269,0.12483745123537061,0.44299956653662764,0.06527729688899557,0.06367041198501873,0.06371911573472042,0.01575,0.06527729688899557,151
06085509107,65040,1945,152,1013,581,143,56,250,870,676,149,398,830,351,366,6,9,39,20,0,69,41,46,33,180,72,219,159,218,264,570,2893,89,75,70,254,7,0,41,256,5,33,218,"list(list(c(-122.060128, -122.058148, -122.057883, -122.057175, -122.052844, -122.054, -122.05512, -122.05629, -122.05831, -122.060128, 37.375275, 37.381386, 37.383031, 37.385011, 37.3842, 37.38067, 37.37729, 37.37379, 37.374541, 37.375275)))",0.0781491002570694,0.12853470437017994,0.00308483290488431,2804,447,1498,0.4,130.79999999999998,87.2,1121.6,1682.4,1210.6,1003832,4564,0.00454657751496266,74,1211,0.3686375321336761,0.038046272493573265,0.6226221079691516,0.018782371064357962,0.03076391289319046,0.22982005141388176,0.04564,0.018782371064357962,37
06085510803,71887,1031,69,398,356,190,18,267,435,277,52,274,289,237,231,63,33,0,76,9,0,12,9,16,27,69,68,70,119,108,352,1202,167,12,0,44,0,0,41,1031,5,141,885,"list(list(c(-122.126424, -122.124534, -122.122559, -122.118216, -122.11253, -122.111605, -122.11005, -122.1115, -122.11493, -122.11637, -122.11861, -122.12329, -122.126544, -122.126424, 37.42044, 37.42197, 37.423668, 37.426417, 37.42281, 37.421791, 37.41993, 37.41918, 37.41737, 37.41658, 37.41459, 37.41756, 37.419607, 37.42044)))",0.06692531522793405,0.25897187196896215,0.06110572259941804,1035,97,934,0.4,531,354,414,621,581,942480,11479,0.01217956879721585,172,649,0.4539282250242483,0.16682832201745879,0.6294859359844811,0.08753181143274152,0.1389351081530782,0.09408341416100872,0.11479,0.08753181143274152,90
06085504418,36269,1435,69,206,680,238,242,150,519,550,216,94,344,359,638,0,0,52,36,46,26,40,56,54,53,90,257,126,174,257,168,2491,25,19,31,50,0,0,11,500,28,75,397,"list(list(c(-121.88429, -121.881666, -121.879503, -121.876001, -121.873272, -121.8788, -121.880934, -121.881786, -121.883736, -121.88835, -121.88429, 37.43561, 37.436169, 37.436643, 37.43742, 37.429501, 37.428197, 37.426949, 37.426496, 37.42577, 37.43465, 37.43561)))",0.04808362369337979,0.10452961672473868,0,2466,111,1324,0.4,238.2,158.8,986.4,1479.6,1011.4,950616,2914,0.00306538076363116,88,725,0.6947735191637631,0.06132404181184669,0.5052264808362369,0.031267115090999574,0.010036130068245684,0.07735191637630662,0.02914,0.031267115090999574,45
06085509902,55192,1845,183,467,710,354,131,495,758,486,106,407,608,286,544,21,118,65,77,36,35,55,65,18,81,38,85,75,167,134,775,2160,190,13,11,67,12,0,18,1851,119,309,1423,"list(list(c(-122.07788, -122.077906, -122.07762, -122.0778, -122.077786, -122.07758, -122.07291, -122.067761, -122.06797, -122.06594, -122.064202, -122.06307, -122.062938, -122.064984, -122.06384, -122.06385, -122.06436, -122.06868, -122.07777, -122.07786, -122.07786, -122.077854, -122.077855, -122.078072, -122.07788, 37.37156, 37.373449, 37.3746, 37.37914, 37.38264, 37.38254, 37.38021, 37.378132, 37.37443, 37.370221, 37.367377, 37.36494, 37.363604, 37.363605, 37.36316, 37.36131, 37.36132, 37.36129, 
37.36128, 37.3651, 37.36582, 37.366125, 37.366812, 37.37036, 37.37156)))",0.0991869918699187,0.2682926829268293,0.01138211382113821,1970,121,1724,0.4,853.8,569.2,788,1182,978,997157,6486,0.00650449227152795,281,1151,0.44986449864498645,0.15230352303523034,0.6238482384823848,0.07987554811809265,0.08796296296296297,0.06558265582655827,0.06486,0.07987554811809265,147
06085511301,63032,1749,213,786,628,93,29,535,740,408,66,727,515,258,249,125,71,35,21,64,0,20,18,43,83,151,84,232,114,154,534,1808,149,48,0,49,0,0,54,3083,352,469,2262,"list(list(c(-122.164179, -122.16146, -122.15429, -122.15302, -122.15055, -122.14933, -122.14321, -122.153444, -122.15586, -122.15614, -122.164258, -122.164179, 37.443302, 37.44187, 37.44914, 37.44837, 37.44678, 37.44602, 37.44215, 37.439208, 37.43833, 37.43826, 37.443199, 37.443302)))",0.12178387650085765,0.30588907947398514,0.0714694110920526,1659,151,1598,0.4,1357.2,904.8,663.6,995.4,812.6,893018,23071,0.02583486559061519,252,1034,0.28987993138936535,0.14408233276157806,0.5911949685534591,0.07508452058902923,0.08241150442477876,0.08633504859919955,0.23071,0.07508452058902923,131
06085511913,60755,1401,39,119,704,338,201,287,400,567,147,168,372,380,481,12,13,10,0,34,6,19,76,18,23,78,85,82,131,131,683,2076,230,0,0,0,0,0,6,332,28,80,224,"list(list(c(-121.903471, -121.897878, -121.896748, -121.893494, -121.889545, -121.888471, -121.886649, -121.887192, -121.886381, -121.884194, -121.884369, -121.884966, -121.882074, -121.886341, -121.887644, -121.889814, -121.893091, -121.894151, -121.89738, -121.900225, -121.903471, 37.225808, 37.229466, 37.230308, 37.233764, 37.235918, 37.237066, 37.237889, 37.236072, 37.234466, 37.232813, 37.228153, 37.224904, 37.221706, 37.219988, 37.220201, 37.221176, 37.221434, 37.221665, 37.222907, 37.223831, 
37.225808)))",0.02783725910064239,0.20485367594575304,0.00856531049250535,1846,6,1395,0.4,134.4,89.60000000000001,738.4000000000001,1107.6,968.4,857197,427,4.981352011264622e-4,35,1027,0.6145610278372591,0.024982155603140613,0.7330478229835832,0.011874627627225838,0.11078998073217726,0.004282655246252677,0.00427,0.011874627627225838,17
06085503703,26135,926,65,186,376,168,131,143,284,255,244,100,89,228,509,21,7,81,27,26,44,78,25,39,60,117,133,79,51,59,79,1892,60,27,6,68,7,0,62,644,49,352,243,"list(list(c(-121.843745, -121.841367, -121.838539, -121.837798, -121.834369, -121.832647, -121.834061, -121.834837, -121.837564, -121.840337, -121.843109, -121.846326, -121.843745, 37.345233, 37.347113, 37.349971, 37.352481, 37.348827, 37.346986, 37.346029, 37.3455, 37.343655, 37.341766, 37.339904, 37.343204, 37.345233)))",0.07019438444924406,0.15442764578833693,0.02267818574514039,1832,170,756,0.4,145.79999999999998,97.2,732.8000000000001,1099.1999999999998,792.8000000000001,962033,7138,0.00741970389789123,136,268,0.7958963282937365,0.1468682505399568,0.2894168466522678,0.07694885172407051,0.03171247357293869,0.183585313174946,0.07138,0.07694885172407051,71
06085503105,20246,762,118,261,191,109,83,310,151,173,128,212,209,83,258,79,153,29,52,10,6,16,38,22,26,64,66,47,23,72,59,1046,19,0,8,31,0,0,6,2583,815,726,1042,"list(list(c(-121.868261, -121.86516, -121.857157, -121.853638, -121.855482, -121.857459, -121.851807, -121.850833, -121.849394, -121.851866, -121.854426, -121.854901, -121.856564, -121.861884, -121.865281, -121.865626, -121.865791, -121.866099, -121.867889, -121.868261, 37.329513, 37.331385, 37.336268, 37.332736, 37.331504, 37.330169, 37.324362, 37.323469, 37.322039, 37.320585, 37.317331, 37.31732, 37.316213, 37.32168, 37.325215, 37.325769, 37.325691, 37.326667, 37.328572, 37.329513)))",0.15485564304461943,0.4068241469816273,0.1036745406824147,1027,45,717,0.4,625.1999999999999,416.8,410.8,616.2,429.8,939243,6466,0.00688426743664844,313,201,0.44750656167979,0.410761154855643,0.2637795275590551,0.21815462625798507,0.018164435946462717,0.05905511811023622,0.06466,0.21815462625798507,166
06085503710,25723,1084,304,199,327,117,137,447,175,228,234,222,220,232,410,149,97,132,36,16,62,10,41,55,17,114,135,27,93,44,56,1677,67,18,0,11,30,0,78,550,48,52,450,"list(list(c(-121.855465, -121.851126, -121.849189, -121.846819, -121.845124, -121.843454, -121.840908, -121.838531, -121.840765, -121.846795, -121.852651, -121.855465, 37.352735, 37.354892, 37.355812, 37.356937, 37.35774, 37.358473, 37.359656, 37.355648, 37.355521, 37.352655, 37.34985, 37.352735)))",0.28044280442804426,0.4123616236162362,0.1374538745387454,1610,137,947,0.4,270,180,644,966,711,923620,6474,0.00700937615036486,414,220,0.5922509225092251,0.38191881918819187,0.2029520295202952,0.20272010374425345,0.03995229576624926,0.12638376383763839,0.06474,0.20272010374425345,220
