GEOID,med_incomeE,total_hhsE,no_veh_hhE,one_veh_hhE,two_veh_hhE,three_veh_hhE,fourmore_veh_hhE,no_worker_hhE,one_worker_hhE,two_worker_hhE,threemore_worker_hhE,hh_1personE,hh_2personE,hh_3personE,hh_4person_plusE,inc_lt_10kE,inc_btw_10k_15kE,inc_btw_15k_20kE,inc_btw_20k_25kE,inc_btw_25k_30kE,inc_btw_30k_35kE,inc_btw_35k_40kE,inc_btw_40k_45kE,inc_btw_45k_50kE,inc_btw_50k_60kE,inc_btw_60k_75kE,inc_btw_75k_100kE,inc_btw_100k_125kE,inc_btw_125k_150kE,inc_btw_150k_200kE,inc_gt_200kE,total_jobs,basic_jobs,retail_jobs,service_jobs,WFH_jobs,total_emp,basic_emp,retail_emp,service_emp,WFH_emp,geometry
06085512042,32250,878,86,221,265,133,173,139,282,349,108,149,274,101,354,27,39,50,4,38,41,14,27,9,79,80,120,84,88,97,81,308,51,15,242,8,1572,490,130,952,350,"list(list(c(-121.819978, -121.818514, -121.815679, -121.813649, -121.811757, -121.808866, -121.808333, -121.809875, -121.809981, -121.810299, -121.813525, -121.817484, -121.822106, -121.819978, 37.269292, 37.269695, 37.269195, 37.269185, 37.269195, 37.269384, 37.26909, 37.268504, 37.261582, 37.260202, 37.262196, 37.264536, 37.26743, 37.269292)))"
06085503306,28213,922,46,143,253,221,259,145,220,191,366,56,132,186,548,6,30,19,54,4,28,49,32,24,48,83,125,112,91,88,129,627,64,81,482,44,2379,726,239,1414,461,"list(list(c(-121.831756, -121.824833, -121.825302, -121.826515, -121.828103, -121.826323, -121.821511, -121.820054, -121.81998, -121.817439, -121.81411, -121.813986, -121.812686, -121.812947, -121.822327, -121.825893, -121.828937, -121.829243, -121.830089, -121.830305, -121.831756, 37.328287, 37.332979, 37.334683, 37.334019, 37.335508, 37.336712, 37.339952, 37.340738, 37.340597, 37.337819, 37.333091, 37.332913, 37.331139, 37.331119, 37.324781, 37.322371, 37.325449, 37.325759, 37.32661, 37.326829, 
37.328287)))"
06085503108,46587,3048,162,1058,1292,431,105,472,1323,1155,98,648,985,697,718,25,84,136,111,83,57,93,157,45,132,230,279,203,209,472,732,1983,107,1013,863,106,4160,1307,359,2494,1149,"list(list(c(-121.883182, -121.881894, -121.881425, -121.880689, -121.87539, -121.873038, -121.872864, -121.87163, -121.871361, -121.870895, -121.870136, -121.86585, -121.864749, -121.863403, -121.862939, -121.870401, -121.875302, -121.876789, -121.877465, -121.877846, -121.879184, -121.881088, -121.882712, -121.883182, 37.285678, 37.28865, 37.290644, 37.292242, 37.292772, 37.294482, 37.294715, 37.291643, 37.290967, 37.289856, 37.288355, 37.282227, 37.279805, 37.276531, 37.27445, 37.275277, 37.275738, 
37.2757, 37.276842, 37.278496, 37.280429, 37.281491, 37.284592, 37.285678)))"
06085503323,38851,1236,25,213,376,333,289,143,429,407,257,65,264,443,464,21,0,5,61,26,23,34,33,12,100,7,118,116,194,329,157,1029,19,18,992,124,2653,840,209,1604,589,"list(list(c(-121.800618, -121.794116, -121.79168, -121.785616, -121.785202, -121.782847, -121.789363, -121.790239, -121.798301, -121.798894, -121.800618, 37.335547, 37.336824, 37.33749, 37.338678, 37.338684, 37.33173, 37.330419, 37.330271, 37.328667, 37.330449, 37.335547)))"
06069000600,35225,2680,29,585,1160,317,589,310,979,885,506,308,821,542,1009,15,0,0,57,209,37,182,17,83,36,361,463,465,185,408,162,1331,135,200,996,49,3535,1184,356,1995,579,"list(list(c(-121.39065, -121.384529, -121.378603, -121.378472, -121.376828, -121.371893, -121.368924, -121.364796, -121.363939, -121.363615, -121.363612, -121.363611, -121.363587, -121.363544, -121.366519, -121.370945, -121.371099, -121.380328, -121.382354, -121.382415, -121.382526, -121.383577, -121.384208, -121.385761, -121.390455, -121.39065, 36.839329, 36.839093, 36.838813, 36.838808, 36.838748, 36.838548, 36.83922, 36.839241, 36.839246, 36.839246, 36.833386, 36.832799, 36.824335, 36.816271, 
36.817044, 36.819544, 36.819637, 36.824992, 36.826796, 36.826863, 36.826994, 36.828319, 36.829226, 36.831559, 36.8387, 36.839329)))"
06085503401,26816,950,29,153,232,275,261,155,251,290,254,97,161,126,566,20,38,75,6,18,52,22,13,6,69,101,157,149,70,88,66,458,30,110,318,72,2217,641,252,1324,394,"list(list(c(-121.845527, -121.843109, -121.839609, -121.837411, -121.836973, -121.834479, -121.831756, -121.833859, -121.836705, -121.838802, -121.839498, -121.842098, -121.845263, -121.844391, -121.846479, -121.845527, 37.338275, 37.339904, 37.336302, 37.334046, 37.333597, 37.331039, 37.328287, 37.326883, 37.329635, 37.328249, 37.327841, 37.330478, 37.334065, 37.334476, 37.337013, 37.338275)))"
06085512020,43261,2562,21,1111,762,392,276,86,1105,949,422,638,699,339,886,0,0,43,0,100,0,81,75,0,239,263,407,468,356,94,436,740,36,163,541,57,3777,1166,359,2252,945,"list(list(c(-121.841897, -121.837354, -121.83524, -121.831792, -121.831173, -121.82905, -121.833522, -121.833825, -121.831932, -121.831087, -121.841029, -121.841049, -121.839513, -121.837542, -121.839679, -121.841897, 37.276928, 37.27989, 37.277823, 37.274471, 37.273889, 37.272403, 37.26934, 37.268902, 37.268, 37.26598, 37.265995, 37.26914, 37.273011, 37.273173, 37.274604, 37.276928)))"
06085503110,22625,1130,73,225,558,142,132,116,298,494,222,24,242,173,691,32,43,28,38,18,64,93,159,96,67,101,122,92,121,40,16,600,200,55,345,45,1996,611,216,1169,409,"list(list(c(-121.854078, -121.851918, -121.851632, -121.848591, -121.846667, -121.841773, -121.842028, -121.843269, -121.843492, -121.845851, -121.848116, -121.853638, -121.857157, -121.854078, 37.338091, 37.339666, 37.33904, 37.335812, 37.333875, 37.328955, 37.328796, 37.327971, 37.329578, 37.328534, 37.327047, 37.332736, 37.336268, 37.338091)))"
06085512029,54504,2307,49,555,946,486,271,442,725,837,303,521,638,501,647,0,57,0,38,18,64,81,15,24,96,92,215,347,347,323,590,834,29,115,690,125,3708,1083,281,2344,944,"list(list(c(-121.830838, -121.825074, -121.821818, -121.817494, -121.812841, -121.809802, -121.808862, -121.807752, -121.804024, -121.803944, -121.804056, -121.805918, -121.817689, -121.820398, -121.823479, -121.829988, -121.829969, -121.830838, 37.251288, 37.251398, 37.251426, 37.251459, 37.251494, 37.25125, 37.251543, 37.251849, 37.251476, 37.245964, 37.24302, 37.24325, 37.243414, 37.243575, 37.244396, 37.247493, 37.248048, 37.251288)))"
06085503118,32371,1653,40,518,733,242,120,128,577,667,281,268,542,239,604,20,18,0,42,89,65,30,40,65,172,186,236,252,176,167,95,187,13,14,160,12,2573,764,243,1566,555,"list(list(c(-121.849394, -121.845747, -121.844922, -121.843244, -121.842231, -121.839579, -121.836509, -121.840205, -121.843304, -121.846715, -121.849394, 37.322039, 37.324603, 37.323801, 37.322065, 37.321032, 37.318312, 37.315172, 37.312787, 37.315907, 37.319309, 37.322039)))"
06085503116,39516,2307,123,670,953,462,99,344,1005,823,135,574,731,508,494,59,108,63,58,40,68,60,27,37,175,159,431,237,273,142,370,1095,291,14,790,160,2800,831,245,1724,716,"list(list(c(-121.864749, -121.861476, -121.854273, -121.849652, -121.845731, -121.844362, -121.841897, -121.845142, -121.84984, -121.852166, -121.860301, -121.862939, -121.863403, -121.864749, 37.279805, 37.280518, 37.280213, 37.280584, 37.280138, 37.279442, 37.276928, 37.275005, 37.274576, 37.274555, 37.274321, 37.27445, 37.276531, 37.279805)))"
06085509107,65040,1945,152,1013,581,143,56,250,870,676,149,398,830,351,366,6,9,39,20,0,69,41,46,33,180,72,219,159,218,264,570,256,5,33,218,111,2786,1051,170,1565,1297,"list(list(c(-122.060128, -122.058148, -122.057883, -122.057175, -122.052844, -122.054, -122.05512, -122.05629, -122.05831, -122.060128, 37.375275, 37.381386, 37.383031, 37.385011, 37.3842, 37.38067, 37.37729, 37.37379, 37.374541, 37.375275)))"
06085510803,71887,1031,69,398,356,190,18,267,435,277,52,274,289,237,231,63,33,0,76,9,0,12,9,16,27,69,68,70,119,108,352,1031,5,141,885,121,1294,426,54,814,517,"list(list(c(-122.126424, -122.124534, -122.122559, -122.118216, -122.11253, -122.111605, -122.11005, -122.1115, -122.11493, -122.11637, -122.11861, -122.12329, -122.126544, -122.126424, 37.42044, 37.42197, 37.423668, 37.426417, 37.42281, 37.421791, 37.41993, 37.41918, 37.41737, 37.41658, 37.41459, 37.41756, 37.419607, 37.42044)))"
06085504418,36269,1435,69,206,680,238,242,150,519,550,216,94,344,359,638,0,0,52,36,46,26,40,56,54,53,90,257,126,174,257,168,500,28,75,397,48,2611,872,215,1524,632,"list(list(c(-121.88429, -121.881666, -121.879503, -121.876001, -121.873272, -121.8788, -121.880934, -121.881786, -121.883736, -121.88835, -121.88429, 37.43561, 37.436169, 37.436643, 37.43742, 37.429501, 37.428197, 37.426949, 37.426496, 37.42577, 37.43465, 37.43561)))"
06085509902,55192,1845,183,467,710,354,131,495,758,486,106,407,608,286,544,21,118,65,77,36,35,55,65,18,81,38,85,75,167,134,775,1851,119,309,1423,270,2431,856,164,1411,1021,"list(list(c(-122.07788, -122.077906, -122.07762, -122.0778, -122.077786, -122.07758, -122.07291, -122.067761, -122.06797, -122.06594, -122.064202, -122.06307, -122.062938, -122.064984, -122.06384, -122.06385, -122.06436, -122.06868, -122.07777, -122.07786, -122.07786, -122.077854, -122.077855, -122.078072, -122.07788, 37.37156, 37.373449, 37.3746, 37.37914, 37.38264, 37.38254, 37.38021, 37.378132, 37.37443, 37.370221, 37.367377, 37.36494, 37.363604, 37.363605, 37.36316, 37.36131, 37.36132, 37.36129, 
37.36128, 37.3651, 37.36582, 37.366125, 37.366812, 37.37036, 37.37156)))"
06085511301,63032,1749,213,786,628,93,29,535,740,408,66,727,515,258,249,125,71,35,21,64,0,20,18,43,83,151,84,232,114,154,534,3083,352,469,2262,1403,1624,486,101,1037,693,"list(list(c(-122.164179, -122.16146, -122.15429, -122.15302, -122.15055, -122.14933, -122.14321, -122.153444, -122.15586, -122.15614, -122.164258, -122.164179, 37.443302, 37.44187, 37.44914, 37.44837, 37.44678, 37.44602, 37.44215, 37.439208, 37.43833, 37.43826, 37.443199, 37.443302)))"
06085511913,60755,1401,39,119,704,338,201,287,400,567,147,168,372,380,481,12,13,10,0,34,6,19,76,18,23,78,85,82,131,131,683,332,28,80,224,34,2153,668,174,1311,620,"list(list(c(-121.903471, -121.897878, -121.896748, -121.893494, -121.889545, -121.888471, -121.886649, -121.887192, -121.886381, -121.884194, -121.884369, -121.884966, -121.882074, -121.886341, -121.887644, -121.889814, -121.893091, -121.894151, -121.89738, -121.900225, -121.903471, 37.225808, 37.229466, 37.230308, 37.233764, 37.235918, 37.237066, 37.237889, 37.236072, 37.234466, 37.232813, 37.228153, 37.224904, 37.221706, 37.219988, 37.220201, 37.221176, 37.221434, 37.221665, 37.222907, 37.223831, 
37.225808)))"
06085503703,26135,926,65,186,376,168,131,143,284,255,244,100,89,228,509,21,7,81,27,26,44,78,25,39,60,117,133,79,51,59,79,644,49,352,243,47,1875,589,209,1077,350,"list(list(c(-121.843745, -121.841367, -121.838539, -121.837798, -121.834369, -121.832647, -121.834061, -121.834837, -121.837564, -121.840337, -121.843109, -121.846326, -121.843745, 37.345233, 37.347113, 37.349971, 37.352481, 37.348827, 37.346986, 37.346029, 37.3455, 37.343655, 37.341766, 37.339904, 37.343204, 37.345233)))"
06085503105,20246,762,118,261,191,109,83,310,151,173,128,212,209,83,258,79,153,29,52,10,6,16,38,22,26,64,66,47,23,72,59,2583,815,726,1042,116,1282,381,125,776,265,"list(list(c(-121.868261, -121.86516, -121.857157, -121.853638, -121.855482, -121.857459, -121.851807, -121.850833, -121.849394, -121.851866, -121.854426, -121.854901, -121.856564, -121.861884, -121.865281, -121.865626, -121.865791, -121.866099, -121.867889, -121.868261, 37.329513, 37.331385, 37.336268, 37.332736, 37.331504, 37.330169, 37.324362, 37.323469, 37.322039, 37.320585, 37.317331, 37.31732, 37.316213, 37.32168, 37.325215, 37.325769, 37.325691, 37.326667, 37.328572, 37.329513)))"
