GEOID,med_incomeE,total_hhsE,no_veh_hhE,one_veh_hhE,two_veh_hhE,three_veh_hhE,fourmore_veh_hhE,no_worker_hhE,one_worker_hhE,two_worker_hhE,threemore_worker_hhE,hh_1personE,hh_2personE,hh_3personE,hh_4person_plusE,inc_lt_10kE,inc_btw_10k_15kE,inc_btw_15k_20kE,inc_btw_20k_25kE,inc_btw_25k_30kE,inc_btw_30k_35kE,inc_btw_35k_40kE,inc_btw_40k_45kE,inc_btw_45k_50kE,inc_btw_50k_60kE,inc_btw_60k_75kE,inc_btw_75k_100kE,inc_btw_100k_125kE,inc_btw_125k_150kE,inc_btw_150k_200kE,inc_gt_200kE,total_jobs,basic_jobs,retail_jobs,service_jobs,WFH_jobs,total_emp,basic_emp,retail_emp,service_emp,WFH_emp,geometry
06085506606,40896,1503,64,259,740,289,151,215,464,580,244,227,525,312,439,50,14,29,20,6,12,50,59,73,73,61,236,125,59,286,350,857,20,283,554,102,2329,747,191,1391,686,"list(list(c(-121.976602, -121.976599, -121.976599, -121.976598, -121.976621, -121.97289, -121.970808, -121.96849, -121.96082, -121.960657, -121.96057, -121.96071, -121.965678, -121.967467, -121.96752, -121.96799, -121.974164, -121.976591, -121.97665, -121.976602, 37.28892, 37.289329, 37.289826, 37.290779, 37.293795, 37.293868, 37.294079, 37.29404, 37.29415, 37.290881, 37.28838, 37.28693, 37.286708, 37.286501, 37.286487, 37.28638, 37.286094, 37.28599, 37.28599, 37.28892)))"
06085504806,38648,796,18,86,284,246,162,102,189,306,199,32,194,167,403,18,0,0,23,27,11,18,22,22,42,99,18,66,56,158,216,312,6,37,269,43,1613,521,114,978,583,"list(list(c(-122.009834, -122.007907, -122.00784, -122.00564, -121.99566, -121.99561, -121.99593, -122.002573, -122.008674, -122.008795, -122.009982, -122.009834, 37.396637, 37.396634, 37.39964, 37.39907, 37.39936, 37.39607, 37.391065, 37.392967, 37.394657, 37.394681, 37.396092, 37.396637)))"
06085501502,26569,1235,48,392,436,185,174,128,544,346,217,215,157,248,615,29,12,49,27,64,119,26,19,150,91,75,108,74,106,105,181,259,54,22,183,12,2082,609,196,1277,502,"list(list(c(-121.870572, -121.864846, -121.862263, -121.861224, -121.857157, -121.86516, -121.868261, -121.866956, -121.866901, -121.868321, -121.869947, -121.870572, 37.340458, 37.344042, 37.341386, 37.340402, 37.336268, 37.331385, 37.329513, 37.331523, 37.3321, 37.337039, 37.337917, 37.340458)))"
06085507205,79554,1867,54,512,756,427,118,559,622,585,101,415,629,415,408,38,29,45,77,20,0,38,21,38,35,162,103,124,68,193,876,971,178,76,717,110,2163,732,138,1293,756,"list(list(c(-121.995297, -121.993385, -121.992893, -121.992974, -121.992771, -121.993088, -121.99267, -121.99177, -121.991938, -121.990655, -121.990655, -121.984962, -121.981783, -121.98033, -121.978289, -121.96881, -121.96632, -121.96419, -121.96734, -121.96918, -121.971271, -121.97305, -121.973768, -121.974308, -121.976723, -121.97758, -121.977771, -121.979751, -121.979674, -121.979672, -121.97964, -121.979329, -121.980067, -121.980824, -121.980861, -121.980639, -121.98107, -121.98146, -121.9817, 
-121.98443, -121.985043, -121.985442, -121.99514, -121.995491, -121.995297, 37.251426, 37.252954, 37.253449, 37.254137, 37.255504, 37.256416, 37.258021, 37.259922, 37.262885, 37.266632, 37.269106, 37.266509, 37.265035, 37.26475, 37.263892, 37.2597, 37.259013, 37.25845, 37.25322, 37.25084, 37.25145, 37.25146, 37.251243, 37.249122, 37.249334, 37.251209, 37.253531, 37.25387, 37.252891, 37.252745, 37.252739, 37.249546, 37.249477, 37.249669, 37.250759, 37.251941, 37.25222, 37.25184, 37.25104, 37.25037, 
37.250089, 37.250084, 37.25092, 37.250381, 37.251426)))"
06085503113,25662,1325,154,262,495,285,129,215,399,454,257,179,316,251,579,78,47,49,18,48,76,80,33,46,112,70,261,133,119,100,55,364,71,47,246,66,1987,521,237,1229,427,"list(list(c(-121.885952, -121.882211, -121.878607, -121.877622, -121.874022, -121.878163, -121.881624, -121.883232, -121.887901, -121.885952, 37.316811, 37.318925, 37.321015, 37.320026, 37.316377, 37.313458, 37.311025, 37.310156, 37.315414, 37.316811)))"
06085503123,26266,1620,209,735,528,128,20,423,755,342,100,607,503,215,295,102,104,57,125,192,98,61,60,63,123,155,81,175,73,119,32,480,162,65,253,80,1786,465,172,1149,424,"list(list(c(-121.881649, -121.878612, -121.8767, -121.874729, -121.873058, -121.872697, -121.872864, -121.873038, -121.87539, -121.880689, -121.881242, -121.88085, -121.880716, -121.881748, -121.881649, 37.303998, 37.304342, 37.301874, 37.299143, 37.295215, 37.294916, 37.294715, 37.294482, 37.292772, 37.292242, 37.296039, 37.297481, 37.301094, 37.301725, 37.303998)))"
06085504319,50183,2461,74,454,1158,473,302,458,802,929,272,307,812,580,762,109,73,38,0,40,44,120,0,0,229,123,120,336,243,471,515,901,77,58,766,83,4109,1468,291,2350,1038,"list(list(c(-121.879019, -121.873062, -121.86899, -121.867357, -121.86496, -121.862864, -121.857932, -121.854957, -121.854757, -121.858728, -121.860394, -121.863251, -121.865196, -121.869365, -121.873372, -121.874509, -121.874653, -121.877228, -121.877993, -121.878413, -121.880698, -121.879019, 37.369656, 37.373791, 37.378029, 37.379768, 37.382444, 37.38467, 37.379922, 37.376986, 37.376782, 37.373994, 37.372864, 37.37094, 37.369633, 37.366808, 37.364185, 37.363418, 37.36332, 37.36587, 37.366507, 
37.366831, 37.368007, 37.369656)))"
06085509801,63941,2279,151,786,930,304,108,324,1058,782,115,701,669,437,472,24,33,110,95,49,19,19,102,35,100,70,159,228,177,271,788,1542,327,226,989,538,2981,1057,149,1775,1331,"list(list(c(-122.10529, -122.10484, -122.104177, -122.103992, -122.102813, -122.101271, -122.09731, -122.096453, -122.094517, -122.09133, -122.08831, -122.08397, -122.08497, -122.08698, -122.08695, -122.08695, -122.086932, -122.08702, -122.09525, -122.09594, -122.09594, -122.095974, -122.093373, -122.093373, -122.095995, -122.09598, -122.09052, -122.088918, -122.090041, -122.090048, -122.090413, -122.095986, -122.09601, -122.09601, -122.096002, -122.105825, -122.10529, 37.389399, 37.3899, 37.390963, 
37.391261, 37.393204, 37.395375, 37.39361, 37.392986, 37.391071, 37.38934, 37.38784, 37.3857, 37.38406, 37.38093, 37.37916, 37.3772, 37.376747, 37.37355, 37.37335, 37.37368, 37.37372, 37.3769, 37.376867, 37.37944, 37.379415, 37.381468, 37.381406, 37.381389, 37.382411, 37.383515, 37.384108, 37.384442, 37.38645, 37.38819, 37.388637, 37.388621, 37.389399)))"
06085506605,52370,1624,70,559,701,215,79,195,752,579,98,395,510,312,407,33,70,12,18,66,0,40,49,29,113,174,170,155,150,173,372,434,71,39,324,43,2252,685,202,1365,629,"list(list(c(-121.976722, -121.970263, -121.969852, -121.964285, -121.964221, -121.961852, -121.961208, -121.96082, -121.96849, -121.970808, -121.97289, -121.976621, -121.976722, 37.300917, 37.301037, 37.301044, 37.301176, 37.300969, 37.297892, 37.296672, 37.29415, 37.29404, 37.294079, 37.293868, 37.293795, 37.300917)))"
06085505500,50560,1597,56,386,819,265,71,251,648,644,54,306,598,318,375,52,46,20,43,20,31,15,29,48,86,92,220,239,109,197,350,1334,40,341,953,118,2348,828,187,1333,747,"list(list(c(-121.97028, -121.96866, -121.96868, -121.9649, -121.959464, -121.95935, -121.95713, -121.95437, -121.95221, -121.95122, -121.95295, -121.9545, -121.95929, -121.96011, -121.96424, -121.9666, -121.96975, -121.97028, 37.34281, 37.34632, 37.35228, 37.35227, 37.352276, 37.35228, 37.35228, 37.3474, 37.34817, 37.34634, 37.34452, 37.34389, 37.34368, 37.34363, 37.34236, 37.34162, 37.34063, 37.34281)))"
