fromId,toId,walk_time
06085503401,06085504001,75
06085503401,06085503506,38
06085503401,06085503204,111
06085503401,06085504317,119
06085503401,06085503327,106
06085503401,06085503504,13
06085503401,06085501700,97
06085503401,06085500901,98
06085503401,06085503902,105
06085503401,06085504102,87
06085503401,06085503115,118
06085503401,06085503304,53
06085503401,06085500800,117
06085503401,06085504002,59
06085503401,06085503337,83
06085503401,06085503325,99
06085503401,06085503709,78
06085503401,06085501102,99
06085503401,06085503214,95
06085503401,06085503213,80
06085503401,06085501101,117
06085503401,06085503804,113
06085503401,06085501300,81
06085503401,06085503322,89
06085503401,06085503903,91
06085503401,06085503305,59
06085503401,06085503602,38
06085503401,06085501800,112
06085512020,06085512042,48
06085512020,06085503108,83
06085512020,06085512020,0
06085512020,06085512029,68
06085512020,06085503118,113
06085512020,06085503116,34
06085512020,06085503003,90
06085512020,06085503211,102
06085512020,06085512026,39
06085512020,06085503121,102
06085512020,06085512019,22
06085512020,06085503001,102
06085512020,06085512031,105
06085512020,06085512045,73
06085512020,06085512023,48
06085512020,06085503002,86
06085512020,06085512047,76
06085512020,06085512037,72
06085512020,06085503218,41
06085512020,06085503212,83
06085512020,06085503336,104
06085512020,06085503210,64
06085512020,06085503123,103
06085512020,06085512039,100
06085512020,06085503217,43
06085512020,06085503207,75
06085512020,06085512025,41
06085512020,06085503122,106
06085512020,06085512030,88
06085512020,06085502907,110
06085512020,06085512017,53
06085512020,06085503204,57
06085512020,06085512036,92
06085512020,06085512027,63
06085512020,06085511915,109
06085512020,06085512021,29
06085512020,06085512005,63
06085512020,06085503115,71
06085512020,06085512024,65
06085512020,06085503304,112
06085512020,06085512033,111
06085512020,06085512022,60
06085512020,06085502909,94
06085512020,06085512052,83
06085512020,06085503337,93
06085512020,06085512053,75
06085512020,06085502500,110
06085512020,06085503214,72
06085512020,06085503208,63
06085512020,06085503213,72
06085512020,06085502903,119
06085512020,06085502910,104
06085512020,06085512043,60
06085503110,06085503306,67
06085503110,06085503401,33
06085503110,06085503110,0
06085503110,06085503118,41
06085503110,06085503703,35
06085503110,06085503105,27
06085503110,06085503710,60
06085503110,06085503211,53
06085503110,06085500902,62
06085503110,06085501402,38
06085503110,06085503121,81
06085503110,06085501401,53
06085503110,06085503511,76
06085503110,06085503402,51
06085503110,06085503601,70
06085503110,06085503507,43
06085503110,06085503713,82
06085503110,06085503510,67
06085503110,06085503117,18
06085503110,06085500100,97
06085503110,06085503707,77
06085503110,06085503212,69
06085503110,06085503708,92
06085503110,06085503336,110
06085503110,06085503210,116
06085503110,06085501200,63
06085503110,06085501501,29
06085503110,06085501600,51
06085503110,06085503111,35
06085503110,06085503712,74
06085503110,06085501502,33
06085503110,06085503113,62
06085503110,06085503123,100
06085503110,06085504319,105
06085503110,06085503711,46
06085503110,06085503321,95
06085503110,06085503509,100
06085503110,06085503112,43
06085503110,06085503217,112
06085503110,06085503508,83
06085503110,06085501000,79
06085503110,06085503207,93
06085503110,06085500200,111
06085503110,06085503315,111
06085503110,06085504101,99
06085503110,06085503122,67
06085503110,06085504001,76
06085503110,06085503506,56
06085503110,06085503204,106
06085503110,06085504317,119
06085503110,06085503504,39
06085503110,06085501700,70
06085503110,06085500901,71
06085503110,06085503902,106
06085503110,06085502301,115
06085503110,06085504102,88
06085503110,06085503115,113
06085503110,06085503304,78
06085503110,06085500800,90
06085503110,06085504002,60
06085503110,06085501900,111
06085503110,06085503337,109
06085503110,06085503709,78
06085503110,06085501102,72
06085503110,06085502500,118
06085503110,06085503214,90
06085503110,06085500300,114
06085503110,06085502400,97
06085503110,06085503213,76
06085503110,06085501101,90
06085503110,06085503804,114
06085503110,06085501300,54
06085503110,06085503322,116
06085503110,06085502302,107
06085503110,06085503903,92
06085503110,06085503305,88
06085503110,06085503602,35
06085503110,06085501800,85
